uri,name,type,n_variable,n_words,n_words_unique,n_characters,avg_char_per_word,n_loop,n_ifthen,arg_name,arg_type,arg_value
parser/mycode/model_gefs.py:log,log,function,4,16,10,118,7.38,0,2,['*s'],[None],[None]
parser/mycode/model_gefs.py:log2,log2,function,2,6,6,35,5.83,0,1,['*s'],[None],[None]
parser/mycode/model_gefs.py:log3,log3,function,2,6,6,35,5.83,0,1,['*s'],[None],[None]
parser/mycode/model_gefs.py:init,init,function,4,8,8,58,7.25,0,0,"['*kw', '**kwargs']","[None, None]","[None, None]"
parser/mycode/model_gefs.py:reset,reset,function,3,7,6,43,6.14,0,0,[],[],[]
parser/mycode/model_gefs.py:fit,fit,function,28,101,91,1053,10.43,1,1,"['data_pars', 'compute_pars', 'out_pars', '**kw']","[None, None, None, None]","['None', 'None', 'None', None]"
parser/mycode/model_gefs.py:eval,eval,function,7,7,7,34,4.86,0,0,"['data_pars', 'compute_pars', 'out_pars', '**kw']","[None, None, None, None]","['None', 'None', 'None', None]"
parser/mycode/model_gefs.py:predict,predict,function,20,47,36,582,12.38,0,3,"['Xpred', 'data_pars', 'compute_pars', 'out_pars', '**kw']","[None, None, None, None, None]","['None', '{}', '{}', '{}', None]"
parser/mycode/model_gefs.py:save,save,function,8,26,22,299,11.5,0,0,"['path', 'info']","[None, None]","['None', 'None']"
parser/mycode/model_gefs.py:load_model,load_model,function,16,26,24,258,9.92,0,0,['path'],[None],"['""""']"
parser/mycode/model_gefs.py:load_info,load_info,function,13,25,23,172,6.88,1,1,['path'],[None],"['""""']"
parser/mycode/model_gefs.py:get_dataset,get_dataset,function,0,4,4,14,3.5,0,0,"['data_pars', 'task_type', '**kw']","[None, None, None]","['None', '""train""', None]"
parser/mycode/model_gefs.py:test,test,function,45,327,217,2946,9.01,0,0,['n_sample '],[None],[' 100']
parser/mycode/model_gefs.py:test_helper,test_helper,function,11,55,39,695,12.64,0,0,"['model_pars', 'data_pars', 'compute_pars']","[None, None, None]","[None, None, None]"
parser/mycode/model_gefs.py:pd_colcat_get_catcount,pd_colcat_get_catcount,function,16,35,29,262,7.49,1,2,"['df', 'colcat', 'coly', 'continuous_ids']","[None, None, None, None]","[None, None, None, 'None']"
parser/mycode/model_gefs.py:is_continuous,is_continuous,function,5,29,27,232,8.0,0,1,['v_array'],[None],[None]
parser/mycode/model_gefs.py:test2,test2,function,39,78,74,892,11.44,0,0,[],[],[]
parser/mycode/model_gefs.py:get_dummies,get_dummies,function,9,18,15,160,8.89,1,1,['data'],[None],[None]
parser/mycode/model_gefs.py:learncats,learncats,function,44,80,61,435,5.44,1,1,"['data', 'classcol', 'continuous_ids']","[None, None, None]","[None, 'None', '[]']"
parser/mycode/model_gefs.py:gef_is_continuous,gef_is_continuous,function,11,12,12,60,5.0,0,1,['data'],[None],[None]
parser/mycode/model_gefs.py:gef_get_stats,gef_get_stats,function,5,6,6,50,8.33,1,0,"['data', 'ncat']","[None, None]","[None, 'None']"
parser/mycode/model_gefs.py:gef_normalize_data,gef_normalize_data,function,11,12,11,63,5.25,0,0,"['data', 'maxv', 'minv']","[None, None, None]","[None, None, None]"
parser/mycode/model_gefs.py:gef_standardize_data,gef_standardize_data,function,10,11,10,60,5.45,0,0,"['data', 'mean', 'std']","[None, None, None]","[None, None, None]"
parser/mycode/model_gefs.py:train_test_split2,train_test_split2,function,25,65,41,686,10.55,0,1,"['data', 'ncat', 'train_ratio', 'prep']","[None, None, None, None]","[None, None, '0.7', ""'std'""]"
parser/mycode/model_gefs.py:test_converion,test_converion,function,96,273,191,1863,6.82,0,0,[],[],[]
parser/mycode/model_gefs.py:train_test_split,train_test_split,function,25,65,41,686,10.55,0,1,"['data', 'ncat', 'train_ratio', 'prep']","[None, None, None, None]","[None, None, '0.7', ""'std'""]"
parser/mycode/model_gefs.py:adult,adult,function,9,34,31,427,12.56,0,0,['data'],[None],[None]
parser/mycode/model_gefs.py:australia,australia,function,11,35,34,337,9.63,0,0,['data'],[None],[None]
parser/mycode/model_gefs.py:bank,bank,function,10,40,38,474,11.85,0,0,['data'],[None],[None]
parser/mycode/model_gefs.py:credit,credit,function,9,43,42,466,10.84,0,0,['data'],[None],[None]
parser/mycode/model_gefs.py:electricity,electricity,function,9,25,24,292,11.68,0,0,['data'],[None],[None]
parser/mycode/model_gefs.py:segment,segment,function,11,38,37,545,14.34,0,0,['data'],[None],[None]
parser/mycode/model_gefs.py:german,german,function,9,33,32,227,6.88,0,0,['data'],[None],[None]
parser/mycode/model_gefs.py:vowel,vowel,function,8,13,12,180,13.85,0,0,['data'],[None],[None]
parser/mycode/model_gefs.py:cmc,cmc,function,9,21,20,378,18.0,0,0,['data'],[None],[None]
parser/mycode/model_gefs.py:get_data,get_data,function,0,4,4,14,3.5,0,0,"['data_pars', 'task_type', '**kw']","[None, None, None]","['None', '""train""', None]"
parser/mycode/model_gefs.py:test_dataset_classi_fake,test_dataset_classi_fake,function,23,49,45,380,7.76,1,0,['nrows'],[None],['500']
parser/mycode/model_gefs.py:Model,Model,class,32,83,66,742,8.94,0,2,[],[],[]
parser/mycode/model_gefs.py:Model:__init__,Model:__init__,method,32,78,63,674,8.64,0,2,"['self', 'model_pars', 'data_pars', 'compute_pars']","[None, None, None, None]","[None, 'None', 'None', 'None']"
